Symbol,Company Name
ENELGXCH.SN,Enel Generación Chile S.A.
SK.SN,Sigdo Koppers S.A.
BSANTANDER.SN,Banco Santander-Chile
FALABELLA.SN,S.A.C.I. Falabella
ILC.SN,Inversiones La Construcción S.A.
CCU.SN,Compañía Cervecerías Unidas S.A.
ITAUCORP.SN,Itaú CorpBanca
AGUAS-A.SN,Aguas Andinas S.A.
FORUS.SN,Forus S.A.
ENELAM.SN,Enel Américas S.A.
PARAUCO.SN,Parque Arauco S.A.
SM-CHILE-B.SN,SM-CHILEB.SN
NUEVAPOLAR.SN,Empresas La Polar S.A.
ENELCHILE.SN,Enel Chile S.A.
SMSAAM.SN,Sociedad Matriz SAAM S.A.
ENTEL.SN,Empresa Nacional de Telecomunicaciones S.A.
ORO-BLANCO.SN,OROBLANCO.SN
CENCOSUD.SN,Cencosud S.A.
ECL.SN,Engie Energia Chile S.A.
COPEC.SN,Empresas Copec S.A.
BCI.SN,Banco de Crédito e Inversiones
COLBUN.SN,Colbún S.A.
AESGENER.SN,AES Gener S.A.
CMPC.SN,Empresas CMPC S.A.
CONCHATORO.SN,Viña Concha y Toro S.A.
SALFACORP.SN,SalfaCorp S.A.
ANDINA-B.SN,Embotelladora Andina S.A.
VAPORES.SN,Compañía Sud Americana de Vapores S.A.
LTM.SN,LATAM Airlines Group S.A.
CAP.SN,CAP S.A.
